week_index,day_index,Shift,Hour,Avg_PassengersHour_3yr,Avg_BoothsHour_3yr
2,6,00-08,0,146,5.333333333
2,6,00-08,1,124.3333333,5.333333333
2,6,00-08,2,143,4
2,6,00-08,3,225,5
2,6,00-08,4,262,6
2,6,00-08,5,378.3333333,6.333333333
2,6,00-08,6,489.3333333,9
2,6,00-08,7,419.5,13.5
2,6,08-16,8,618.5,9.5
2,6,08-16,9,350,9
2,6,08-16,10,233,6.666666667
2,6,08-16,11,115.5,6.5
2,6,08-16,12,280.5,8
2,6,08-16,13,349.6666667,12
2,6,08-16,14,1286.666667,14.66666667
2,6,08-16,15,1223.666667,18.33333333
2,6,16-00,16,948.6666667,19.33333333
2,6,16-00,17,194.3333333,12.33333333
2,6,16-00,18,153.3333333,11.33333333
2,6,16-00,19,730.3333333,12.66666667
2,6,16-00,20,869.3333333,12.33333333
2,6,16-00,21,611.6666667,9.666666667
2,6,16-00,22,392,9
2,6,16-00,23,133,6
2,7,00-08,0,161.6666667,5.666666667
2,7,00-08,1,72.5,4
2,7,00-08,2,177,6
2,7,00-08,3,166.5,5
2,7,00-08,4,148,6
2,7,00-08,5,310,6.5
2,7,00-08,6,394,7.666666667
2,7,00-08,7,606.5,11.5
2,7,08-16,8,335,10.66666667
2,7,08-16,9,187.3333333,9.333333333
2,7,08-16,10,304.6666667,7.666666667
2,7,08-16,11,272,6
2,7,08-16,12,209.6666667,6.666666667
2,7,08-16,13,247.3333333,11.33333333
2,7,08-16,14,862.6666667,12
2,7,08-16,15,1334,13.33333333
2,7,16-00,16,933.6666667,15.33333333
2,7,16-00,17,271.5,14
2,7,16-00,18,245.6666667,9.333333333
2,7,16-00,19,759,11
2,7,16-00,20,909,10
2,7,16-00,21,148.5,7
2,7,16-00,22,322,6.666666667
2,7,16-00,23,129.3333333,4
3,1,00-08,0,124,3
3,1,00-08,1,125,4
3,1,00-08,2,98.5,3
3,1,00-08,3,108,3
3,1,00-08,4,144,3
3,1,00-08,5,332.3333333,6.333333333
3,1,00-08,6,257,6
3,1,00-08,7,307,12
3,1,08-16,8,416,12.5
3,1,08-16,9,214.6666667,8
3,1,08-16,10,301.6666667,8.333333333
3,1,08-16,11,406,10
3,1,08-16,12,516,11
3,1,08-16,13,254.3333333,12.33333333
3,1,08-16,14,1180.666667,15.33333333
3,1,08-16,15,1263.333333,17.33333333
3,1,16-00,16,593.6666667,18.66666667
3,1,16-00,17,246,12.5
3,1,16-00,18,191.5,11.5
3,1,16-00,19,1150,11
3,1,16-00,20,597,9
3,1,16-00,21,484,6
3,1,16-00,22,405.3333333,6.333333333
3,1,16-00,23,239.6666667,6
3,2,00-08,0,130,4
3,2,00-08,1,153.3333333,5.333333333
3,2,00-08,2,230.6666667,5.333333333
3,2,00-08,3,111.3333333,4.666666667
3,2,00-08,4,182,5
3,2,00-08,5,233.3333333,6.666666667
3,2,00-08,6,511.5,10
3,2,00-08,7,588.5,13
3,2,08-16,8,333,12
3,2,08-16,9,185.6666667,7
3,2,08-16,10,208.6666667,6
3,2,08-16,11,178,6
3,2,08-16,12,315,8
3,2,08-16,13,423,12
3,2,08-16,14,998.6666667,16
3,2,08-16,15,1169.333333,17.66666667
3,2,16-00,16,956.3333333,18
3,2,16-00,17,240.5,10.5
3,2,16-00,18,198.6666667,10.33333333
3,2,16-00,19,727,13.66666667
3,2,16-00,20,672.3333333,10.66666667
3,2,16-00,21,191,9
3,2,16-00,22,355,6
3,2,16-00,23,261.5,5.5
3,3,00-08,0,156,6
3,3,00-08,1,252.3333333,4.666666667
3,3,00-08,2,95,5
3,3,00-08,3,160,4
3,3,00-08,4,143,5
3,3,00-08,5,430.5,7
3,3,00-08,6,577.6666667,9.666666667
3,3,00-08,7,560.6666667,16.66666667
3,3,08-16,8,533.3333333,15
3,3,08-16,9,251,9.666666667
3,3,08-16,10,222.6666667,7.333333333
3,3,08-16,11,355,15
3,3,08-16,12,309.5,10
3,3,08-16,13,463.6666667,12.66666667
3,3,08-16,14,1174,14.33333333
3,3,08-16,15,1471,17.66666667
3,3,16-00,16,427,17.33333333
3,3,16-00,17,115,5
3,3,16-00,18,384,11.33333333
3,3,16-00,19,963.3333333,11.33333333
3,3,16-00,20,662,10
3,3,16-00,21,60.5,5.5
3,3,16-00,22,376.6666667,6.333333333
3,3,16-00,23,296,5.666666667
3,4,00-08,0,268,5
3,4,00-08,1,209.3333333,4.666666667
3,4,00-08,2,144.5,3.5
3,4,00-08,3,157.5,4
3,4,00-08,4,218,6
